Parcel ID,Address
8.72E+11, 306 7TH ST 
8.72E+11, 501 8TH ST 
8.72E+11, 1101 G AVE 
8.72E+11, 1209 E AVE 
8.72E+11, 403 8TH ST 
8.72E+11, 301 8TH ST UNIT 1 
8.72E+11, 303 7TH ST 
8.72E+11, 406 9TH ST 
8.72E+11, 203 8TH ST 
8.72E+11, 1102 F AVE 
8.72E+11, 809 D AVE 
8.72E+11, 1401 E AVE 
8.72E+11, 302 8TH ST 
8.72E+11, 607 E AVE 
8.72E+11, 601 G AVE 
8.72E+11, 504 10TH ST 
8.72E+11, 902 F AVE 
8.72E+11, 305 6TH ST 
8.72E+11, 301 8TH ST UNIT 4 
8.72E+11, 612 7TH ST 
8.72E+11, 607 9TH ST 
8.72E+11, 1609 W AVE 
8.72E+11, 401 6TH ST 
8.72E+11, 1301 E AVE 
8.72E+11, 906 E AVE 
8.72E+11, 609 E AVE 
8.72E+11, 805 F AVE 
8.72E+11, 401 9TH ST 
8.72E+11, 201 8TH ST 
8.72E+11, 601 9TH ST 
8.72E+11, 202 7TH ST 
8.72E+11, 1105 E AVE 
8.72E+11, 603 14 ST 
8.72E+11, 705 D AVE 
8.72E+11, 903 G AVE 
8.72E+11, 703 G AVE 
8.72E+11, 605 9TH ST 
8.72E+11, 901 D AVE 
8.72E+11, 502 11TH ST 
8.72E+11, 304 8TH ST 
8.72E+11, 701 E AVE 
8.72E+11, 1003 G AVE 
8.72E+11, 603 10TH ST 
8.72E+11, 801 F AVE 
8.72E+11, 1107 G AVE 
8.72E+11, 504 9TH ST 
8.72E+11, 1105 F AVE 
