Parcel ID,Address,
8.71607E+11, 317 I AVE ,
8.71712E+11, 503 BUTLER AVE ,
8.71607E+11, 304 E H AVE ,
8.71712E+11, 1302 6TH ST ,
8.71607E+11, 806 E 1ST ST ,
8.71607E+11, 201 M AVE ,
8.71607E+11, 906 2 ST ,
8.71607E+11, 309 H AVE ,
8.71607E+11, 309 E I AVE ,
8.71607E+11, 308 E G AVE ,
8.71607E+11, 302 G AVE ,
8.71712E+11, 320 I AVE ,
8.71712E+11, 1202 5TH ST ,
8.71607E+11, 105 I AVE ,
8.71607E+11, 315 H AVE ,
8.71712E+11, 1109 5TH ST ,
8.71712E+11, 320 G AVE ,
8.71607E+11, 317 J AVE ,
8.71607E+11, 705 1ST ST ,
8.71607E+11, 106 M AVE ,
8.71607E+11, 205 J AVE ,
8.71607E+11, 303 E H AVE ,
8.71607E+11, 312 H AVE ,
8.71712E+11, 502 K AVE ,
8.71712E+11, 408 G AVE ,
8.71607E+11, 906 FROST ST ,
8.71607E+11, 103 H AVE ,
8.71712E+11, 414 M AVE ,
8.71607E+11, 305 E I AVE ,
8.71712E+11, 1205 4TH ST ,
8.71712E+11, 402 I AVE ,
8.71712E+11, 412 J AVE ,
8.71712E+11, 402 M AVE ,
8.71607E+11, 319 J AVE ,
8.71607E+11, 312 G AVE ,
8.71712E+11, 1202 6TH ST ,
8.71712E+11, 401 K AVE ,
8.71607E+11, 1209 1ST ST ,
8.71607E+11, 201 I AVE ,
8.71607E+11, 207 K AVE ,
8.71607E+11, 306 E H AVE ,
8.71712E+11, 405 Butler Ave,
8.71607E+11, 206 H AVE ,
8.71607E+11, 212 M AVE ,
8.71607E+11, 209 J AVE ,
8.71712E+11, 405 BUTLER AVE ,
8.71712E+11, 504 G AVE ,
8.71607E+11, 316 G AVE ,
8.71712E+11, 504 J AVE ,
8.71712E+11, 502 I AVE ,
8.71712E+11, 408 J AVE ,
8.71607E+11, 903 FROST ST ,
8.71607E+11, 314 G AVE ,
8.71712E+11, 1205 5TH ST ,
8.71607E+11, 306 E G AVE UNIT 4 ,
8.71607E+11, 204 K AVE APT 8 ,
8.71607E+11, 205 K AVE ,
8.71607E+11, 308 E H AVE ,
8.71607E+11, 202 J AVE ,
8.71712E+11, 413 K AVE ,
8.71607E+11, 802 2 ST ,
8.71712E+11, 411 HYDE AVE ,
8.71607E+11, 202 M AVE ,
8.71712E+11, 411 BUTLER AVE ,
8.71607E+11, 301 E H AVE ,
8.71607E+11, 905 1ST ST ,
8.71712E+11, 412 K AVE ,
8.71712E+11, 506 I AVE ,
8.71607E+11, 107 M AVE ,
8.71607E+11, 216 I AVE ,
8.71607E+11, 207 I AVE ,
8.71607E+11, 208 M AVE ,
8.71712E+11, 407 H AVE ,
8.71607E+11, 206 I AVE ,
8.71607E+11, 904 4TH ST ,
8.71712E+11, 1106 5TH ST ,
8.71712E+11, 412 M AVE ,
8.71607E+11, 102 G AVE ,
8.71712E+11, 505 J AVE ,
8.71712E+11, 407 I AVE ,
8.71712E+11, 1204 6TH ST ,
8.71712E+11, 406 J AVE ,
8.71712E+11, 505 H AVE ,
8.71607E+11, 211 J AVE ,
8.71607E+11, 209 H AVE ,
8.71607E+11, 202 G AVE ,
8.71712E+11, 504 H AVE ,
8.71607E+11, 206 K AVE ,
8.71712E+11, 505 BUTLER AVE ,
8.71712E+11, 1101 4TH ST ,
8.71712E+11, 403 K AVE ,
8.71607E+11, 318 H AVE ,
8.71712E+11, 403 I AVE ,
8.71712E+11, 404 K AVE ,
8.71607E+11, 210 G AVE ,
8.71607E+11, 310 E I AVE ,
8.71607E+11, 211 M AVE ,
8.71712E+11, 1304 6TH ST ,
8.71712E+11, 1110 6TH ST ,
8.71712E+11, 510 I AVE ,
8.71607E+11, 908 2 ST ,
8.71712E+11, 408 M AVE ,
8.71712E+11, 309 East H Ave,
8.71712E+11, 401 I AVE ,
8.71712E+11, 508 J AVE ,
8.71712E+11, 412 G AVE ,
8.71712E+11, 903 5TH ST ,
8.71607E+11, 103 M AVE ,
8.71712E+11, 509 HYDE AVE ,
8.71712E+11, 1210 6TH ST ,
8.71607E+11, 306 E G AVE UNIT 3 ,
8.71607E+11, 213 J AVE ,
8.71607E+11, 310 G AVE ,
8.71607E+11, 105 H AVE ,
8.71712E+11, 321 I AVE ,
8.71607E+11, 307 E H AVE ,
8.71712E+11, 407 J AVE ,
8.71712E+11, 1209 5TH ST ,
8.71607E+11, 304 G AVE ,
8.71607E+11, 106 I AVE ,
8.71607E+11, 108 M AVE ,
8.71607E+11, 305 E H AVE ,
