full url,,District/Parcel,District/Parcel URL,Class,BldgFull,Address,Address City,Yr,Area,Condition,X,Y,address trim,address +,"address+,",city +,address+city,,front url,full url,,sort poor,sort link,poor text,link text
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2429+SE+7TH+ST,+DES+MOINES",,010/00155-003-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000155003000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,118300,2429 SE 7TH ST ,DES MOINES,1972,778,BN/Below Normal,1612019.419,569597.251,2429 SE 7TH ST,2429+SE+7TH+ST,"2429+SE+7TH+ST,+",DES+MOINES,"2429+SE+7TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2429+SE+7TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2425+SE+7TH+ST,+DES+MOINES",,010/00157-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000157000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,49100,2425 SE 7TH ST ,DES MOINES,1949,580,BN/Below Normal,1612018.976,569640.433,2425 SE 7TH ST,2425+SE+7TH+ST,"2425+SE+7TH+ST,+",DES+MOINES,"2425+SE+7TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2425+SE+7TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2724+GLOVER+AVE,+DES+MOINES",,010/00197-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000197000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,34800,2724 GLOVER AVE ,DES MOINES,1919,784,PR/Poor,1605083.458,568507.087,2724 GLOVER AVE,2724+GLOVER+AVE,"2724+GLOVER+AVE,+",DES+MOINES,"2724+GLOVER+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2724+GLOVER+AVE,+DES+MOINES",,PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2724+GLOVER+AVE,+DES+MOINES",PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2724+GLOVER+AVE,+DES+MOINES"
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1115+BROAD+ST,+DES+MOINES",,010/00206-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000206000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,67100,1115 BROAD ST ,DES MOINES,1930,768,BN/Below Normal,1604944.159,568181.855,1115 BROAD ST,1115+BROAD+ST,"1115+BROAD+ST,+",DES+MOINES,"1115+BROAD+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1115+BROAD+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1113+BROAD+ST,+DES+MOINES",,010/00208-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000208000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,122600,1113 BROAD ST ,DES MOINES,1920,1494,BN/Below Normal,1604998.796,568181.82,1113 BROAD ST,1113+BROAD+ST,"1113+BROAD+ST,+",DES+MOINES,"1113+BROAD+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1113+BROAD+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=720+CAULDER+AVE,+DES+MOINES",,010/00251-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000251000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,158500,720 CAULDER AVE ,DES MOINES,1906,1996,BN/Below Normal,1606400.584,565928.494,720 CAULDER AVE,720+CAULDER+AVE,"720+CAULDER+AVE,+",DES+MOINES,"720+CAULDER+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=720+CAULDER+AVE,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3728+SW+7TH+ST,+DES+MOINES",,010/00320-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000320000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,97300,3728 SW 7TH ST ,DES MOINES,1937,908,BN/Below Normal,1606546.244,565041.649,3728 SW 7TH ST,3728+SW+7TH+ST,"3728+SW+7TH+ST,+",DES+MOINES,"3728+SW+7TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3728+SW+7TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3323+SW+8TH+ST,+DES+MOINES",,010/00340-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000340000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,47900,3323 SW 8TH ST ,DES MOINES,1904,1190,PR/Poor,1606428.478,566124.015,3323 SW 8TH ST,3323+SW+8TH+ST,"3323+SW+8TH+ST,+",DES+MOINES,"3323+SW+8TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3323+SW+8TH+ST,+DES+MOINES",,PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3323+SW+8TH+ST,+DES+MOINES",PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3323+SW+8TH+ST,+DES+MOINES"
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=614+HUGHES+AVE,+DES+MOINES",,010/00356-001-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000356001000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,75400,614 HUGHES AVE ,DES MOINES,1921,1261,BN/Below Normal,1606827.036,566281.874,614 HUGHES AVE,614+HUGHES+AVE,"614+HUGHES+AVE,+",DES+MOINES,"614+HUGHES+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=614+HUGHES+AVE,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3313+SW+7TH+ST,+DES+MOINES",,010/00359-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000359000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,71700,3313 SW 7TH ST ,DES MOINES,1915,968,BN/Below Normal,1606717.933,566237.849,3313 SW 7TH ST,3313+SW+7TH+ST,"3313+SW+7TH+ST,+",DES+MOINES,"3313+SW+7TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3313+SW+7TH+ST,+DES+MOINES",,,,,
