Parcel ID,Address
8.71712E+11, 1208 7TH ST 
8.71712E+11, 1104 H AVE 
8.71712E+11, 1204 J AVE 
8.71712E+11, 903 7TH ST 
8.71712E+11, 1404 8TH ST 
8.71712E+11, 1402 H AVE 
8.71712E+11, 807 13 ST 
8.71712E+11, 906 L AVE 
8.71712E+11, 1513 CANTEBURY CIR 
8.71712E+11, 908 K AVE 
8.71712E+11, 1104 WALDEN LN 
8.71712E+11, 805 12TH ST 
8.71712E+11, 1001 WILLOW DR 
8.71712E+11, 1402 8TH ST 
8.71712E+11, 605 J AVE 
8.71712E+11, 1519 CANTEBURY CIR 
8.71712E+11, 1507 CANTEBURY CIR 
8.71712E+11, 707 12TH ST 
8.71712E+11, 703 M AVE 
8.71712E+11, 1204 G AVE 
8.71712E+11, 602 J AVE 
8.71712E+11, 1103 6TH ST 
8.71712E+11, 1006 INDIGO ST 
8.71712E+11, 1108 12TH ST 
8.71712E+11, 803 M AVE 
8.71712E+11, 1405 WINDSOR DR 
8.71713E+11, 404 SOUTHVIEW DR 
8.71712E+11, 706 H AVE 
8.71712E+11, 1010 K AVE 
8.71712E+11, 1501 CANTEBURY CIR 
8.71712E+11, 1101 10TH ST 
8.71712E+11, 806 K AVE 
8.71712E+11, 1105 9TH ST 
8.71712E+11, 1203 L AVE 
8.71712E+11, 1003 11TH ST 
8.71712E+11, 1201 8TH ST 
8.71712E+11, 1009 12TH ST 
8.71712E+11, 907 12TH ST 
8.71712E+11, 805 H AVE 
8.71712E+11, 1526 CANTEBURY CIR 
8.71712E+11, 1201 11TH ST 
8.71712E+11, 1509 CANTEBURY CIR 
8.71712E+11, 1206 11TH ST 
8.71712E+11, 1002 7TH ST 
8.71712E+11, 801 11TH ST 
8.71712E+11, 903 6TH ST 
8.71712E+11, 1007 INDIGO ST 
8.71712E+11, 706 G AVE 
8.71712E+11, 1005 10TH ST 
8.71712E+11, 703 8TH ST 
8.71712E+11, 1005 K AVE 
8.71712E+11, 1006 L AVE 
8.71712E+11, 908 WALDEN LN 
8.71712E+11, 710 H AVE 
8.71712E+11, 908 7TH ST 
8.71712E+11, 1525 & 1527 SAGE AVE 
8.71712E+11, 1400 9TH ST 
8.71712E+11, 1208 J AVE 
8.71712E+11, 1207 I AVE 
8.71712E+11, 1107 9TH ST 
8.71712E+11, 901 6TH ST 
8.71712E+11, 1110 7TH ST 
8.71712E+11, 624 G AVE 
8.71712E+11, 807 WALDEN LN 
8.71712E+11, 900 WALDEN LN 
8.71712E+11, 704 10TH ST 
8.71712E+11, 808 G AVE 
8.71712E+11, 1001 I AVE 
8.71712E+11, 1205 7TH ST 
8.71712E+11, 1006 H AVE 
8.71712E+11, 710 J AVE 
8.71712E+11, 620 G AVE 
8.71712E+11, 802 K AVE 
8.71712E+11, 904 L AVE 
8.71712E+11, 1404 L AVE 
8.71712E+11, 1503 LAUREL AVE 
8.71712E+11, 606 M AVE 
8.71712E+11, 907 10TH ST 
8.71712E+11, 905 L AVE 
8.71712E+11, I AVE 
8.71712E+11, 1008 7TH ST 
8.71712E+11, 801 12TH ST 
8.71713E+11, 1504 8TH ST 
8.71712E+11, 1201 13 ST 
8.71712E+11, 809 I AVE 
8.71712E+11, 1203 12TH ST 
8.71712E+11, 1006 12TH ST 
8.71712E+11, 1306 H AVE 
8.71712E+11, 1206 10TH ST 
8.71712E+11, 1101 L AVE 
8.71712E+11, 901 7TH ST 
8.71712E+11, 1520 CANTEBURY CIR 
8.71712E+11, 1305 6TH ST 
8.71712E+11, 1502 CANTEBURY CIR 
8.71712E+11, 1003 INDIGO ST 
8.71712E+11, 1006 K AVE 
8.71712E+11, 704 H AVE 
8.71712E+11, 1206 J AVE 
8.71712E+11, 1101 INDIGO ST 
8.71712E+11, 1517 CANTEBURY CIR 
8.71712E+11, 806 H AVE 
8.71712E+11, 606 K AVE 
8.71712E+11, 1408 WILSHIRE DR 
8.71712E+11, 705 11TH ST 
8.71712E+11, 1205 L AVE 
8.71712E+11, 802 10TH ST 
8.71712E+11, 608 K AVE 
8.71712E+11, 1004 8TH ST 
8.71712E+11, 1404 WINDSOR DR 
8.71712E+11, 1102 12TH ST 
8.71712E+11, 707 11TH ST 
8.71712E+11, 1102 INDIGO ST 
8.71712E+11, 807 6TH ST 
8.71712E+11, 606 G AVE 
8.71712E+11, 1009 K AVE 
8.71712E+11, 707 9TH ST 
8.71712E+11, 1107 6TH ST 
8.71712E+11, 810 H AVE 
8.71712E+11, 605 I AVE 
8.71712E+11, 1108 7TH ST 
8.71712E+11, 1002 WALDEN LN 
8.71712E+11, 1507 SAGE AVE 
8.71712E+11, 608 M AVE 
8.71712E+11, 1401 WINDSOR DR 
8.71712E+11, 608 I AVE 
8.71712E+11, 1108 K AVE 
8.71712E+11, 707 K AVE 
8.71713E+11, 400 SOUTHVIEW DR 
8.71712E+11, 810 I AVE 
8.71712E+11, 805 I AVE 
8.71712E+11, 806 G AVE 
8.71712E+11, 1003 I AVE 
8.71712E+11, 1522 CANTEBURY CIR 
8.71712E+11, 1001 7TH ST 
8.71712E+11, 708 I AVE 
8.71712E+11, 902 8TH ST 
8.71712E+11, 806 I AVE 
8.71712E+11, 1103 INDIGO ST 
8.71712E+11, 610 M AVE 
8.71713E+11, 1504 9TH ST 
8.71712E+11, 1511 LAUREL AVE 
8.71712E+11, 1008 13 ST 
8.71712E+11, 1102 G AVE 
8.71712E+11, 1206 G AVE 
8.71712E+11, 906 H AVE 
8.71712E+11, 705 J AVE 
8.71712E+11, 1506 LAUREL AVE 
8.71712E+11, 1107 L AVE 
8.71712E+11, 1515 LAUREL AVE 
8.71712E+11, 1202 10TH ST 
8.71712E+11, 610 K AVE 
8.71712E+11, 1105 I AVE 
8.71712E+11, 1002 12TH ST 
8.71712E+11, 1005 INDIGO ST 
8.71712E+11, 901 11TH ST 
8.71712E+11, 807 I AVE 
8.71712E+11, 1002 INDIGO ST 
8.71712E+11, 1001 10TH ST 
8.71712E+11, 1514 CANTEBURY CIR 
8.71712E+11, 1529 & 1531 SAGE AVE 
8.71712E+11, 1202 J AVE 
8.71712E+11, 1201 9TH ST 
8.71712E+11, 1107 10TH ST 
8.71712E+11, M AVE 
8.71712E+11, 1402 9TH ST 
8.71712E+11, 1521 CANTEBURY CIR 
8.71712E+11, 907 13 ST 
8.71712E+11, 1101 13 ST 
8.71712E+11, 801 8TH ST 
8.71712E+11, 1206 I AVE 
8.71712E+11, 1202 8TH ST 
8.71712E+11, 1008 H AVE 
8.71712E+11, 806 8TH ST 
8.71713E+11, 1502 8TH ST 
8.71712E+11, 1406 8TH ST 
8.71712E+11, 1001 INDIGO ST 
8.71712E+11, 1511 CANTEBURY CIR 
8.71712E+11, 1004 10TH ST 
8.71712E+11, 1108 I AVE 
8.71712E+11, 1103 12TH ST 
8.71712E+11, 1005 I AVE 
8.71712E+11, 804 G AVE 
8.71712E+11, 1103 10TH ST 
8.71712E+11, 1009 H AVE 
8.71712E+11, 1512 LAUREL AVE 
8.71712E+11, 802 I AVE 
8.71712E+11, 1105 10TH ST 
8.71712E+11, 1509 SAGE AVE 
8.71712E+11, 1002 I AVE 
8.71712E+11, 910 11TH ST 
8.71712E+11, 1004 7TH ST 
8.71712E+11, 1518 CANTEBURY CIR 
8.71712E+11, 1001 13 ST 
8.71712E+11, 1503 SAGE AVE 
8.71712E+11, 908 11TH ST 
8.71712E+11, 905 13 ST 
8.71712E+11, 622 G AVE 
8.71712E+11, 1204 11TH ST 
8.71712E+11, 1004 12TH ST 
8.71712E+11, 1007 7TH ST 
8.71712E+11, 708 M AVE 
8.71712E+11, 1108 9TH ST 
8.71712E+11, 901 13 ST 
8.71712E+11, 630 G AVE 
8.71712E+11, 907 7TH ST 
8.71712E+11, 1102 13 ST 
8.71712E+11, 1205 H AVE 
8.71712E+11, 1101 WALDEN LN 
8.71712E+11, 1000 INDIGO ST 
8.71712E+11, 1407 6TH ST 
8.71712E+11, 801 7TH ST 
8.71712E+11, 303 SOUTHVIEW DR 
8.71712E+11, 103 SOUTHVIEW DR 
8.71712E+11, 1008 INDIGO ST 
8.71712E+11, 1204 L AVE 
8.71712E+11, 1500 CANTEBURY CIR 
8.71712E+11, 102 SOUTHVIEW DR 
8.71712E+11, 909 L AVE 
8.71712E+11, 806 12TH ST 
8.71712E+11, 1207 6TH ST 
8.71712E+11, 207 SOUTHVIEW DR 
8.71712E+11, 1002 11TH ST 
8.71712E+11, 612 G AVE 
8.71712E+11, 1516 SAGE AVE 
8.71712E+11, 702 K AVE 
8.71712E+11, 905 H AVE 
8.71712E+11, 805 13 ST 
8.71712E+11, 1006 11TH ST 
8.71712E+11, 804 12TH ST 
8.71712E+11, 1005 12TH ST 
8.71712E+11, 1008 8TH ST 
8.71712E+11, 1400 WINDSOR DR 
8.71712E+11, 806 M AVE 
8.71712E+11, 12TH ST 
8.71712E+11, 1109 6TH ST 
8.71712E+11, 1208 H AVE 
8.71712E+11, 807 11TH ST 
8.71712E+11, 804 WALDEN LN 
8.71712E+11, 1535 SAGE AVE 
8.71712E+11, 604 I AVE 
