Parcel ID,Address
634480011,307 6TH AVE NE
635358002,900 2ND ST NE
635355006,1002 3RD ST NE
635355007,1006 3RD ST NE
635355008,307 11TH AVE NE
635353001,903 HOMEWAY DR NE
634483003,306 8TH AVE NE
635353002,907 HOMEWAY DR NE
635351008,808 3RD ST NE
635351009,812 3RD ST NE
635351010,816 3RD ST NE
635351007,309 9TH AVE NE
634452005,400 2ND AVE NE
634451005,403 2ND AVE NE
634378001, 1ST AVE NE
634481011,614 3RD ST NE
634482006,311 8TH AVE NE
634480010,313 6TH AVE NE
634480005,312 5TH AVE NE
634432013,700 7TH AVE NE
634432014,708 7TH ST NE
634191003,806 1ST AVE NE
634426001,802 5TH AVE NE
634189005,811 NELSON AVE NE
634190006,802 NELSON AVE NE
634267003,810 2ND AVE NE
634268003,806 3RD AVE NE
634190004,811 1ST AVE NE
634191002,810 1ST AVE NE
634267006,809 3RD AVE NE
634279008,808 5TH AVE NE
634188001, 9TH ST NE
634482013,312 7TH AVE NE
634482003,707 4TH ST NE
634481010,315 7TH AVE NE
634481005,611 4TH ST NE
634480001,316 5TH AVE NE
634480002,507 4TH ST NE
634480003,511 4TH ST NE
634480004,317 6TH AVE NE
634454002,404 4TH AVE NE
634454003,406 4TH ST NE
634452008,405 3RD AVE NE
634451003,409 2ND AVE NE
634483001,316 8TH AVE NE
635351001,809 4TH ST NE
635351002,811 4TH ST NE
635351003,815 4TH ST NE
634452003,410 2ND AVE NE
635355001,314 10TH AVE NE
635351004,317 9TH AVE NE
635355002,1007 4TH ST NE
635355003,315 11TH AVE NE
635352001,316 9TH AVE NE
635352002,317 WILCOX PL NE
634452002,412 2ND AVE NE
634451002,413 2ND AVE NE
634377001,75 5TH ST NE
634377002,81 5TH ST NE
634478005,401 8TH AVE NE
634478004,712 4TH ST NE
634379001, 1ST AVE NE
634477006,401 7TH AVE NE
634477002,402 6TH AVE NE
634477003,608 4TH ST NE
634478002,702 4TH ST NE
634451001,417 2ND AVE NE
634452009,418 2ND AVE NE
634452010,205 5TH ST NE
634453001,314 3RD ST NE
634454001,415 5TH AVE NE
634476001,400 5TH AVE NE
634476005,400 5TH AVE
635311003,902 4TH ST NE
634477001,404 6TH AVE NE
634477004,609 5TH ST NE
634477005,615 5TH ST NE
635310013,804 4TH ST NE
635310011,402 8TH AVE NE
634478001,404 7TH AVE NE
634339004,503 NELSON AVE NE
634340004,80 5TH ST NE
634341005,100 5TH ST NE
634341006,104 5TH ST NE
634413005,108 5TH ST NE
635310012,406 8TH AVE NE
634340007,511 1ST AVE NE
634413006,501 2ND AVE NE
635310010,810 4TH ST NE
635310009,812 4TH ST NE
634414005,500 2ND AVE NE
635310007,814 4TH ST NE
635310008,820 4TH ST NE
634414010,501 3RD AVE NE
634415005,500 3RD AVE NE
635308005,1010 4TH ST NE
635311004,406 9TH AVE NE
634416004,400 5TH ST NE
634416007,501 5TH AVE NE
634340003,504 NELSON AVE NE
634437008,500 6TH AVE NE
634416003,506 4TH AVE NE
634340008,507 1ST AVE NE
634341004,506 1ST AVE NE
634437009,608 5TH ST NE
634414004,504 2ND AVE NE
634414009,505 3RD AVE NE
634413004,507 2ND AVE NE
634438014,726 5TH ST NE
634415004,506 3RD AVE NE
635310002,410 8TH AVE NE
634415009,504 4TH AVE NE
634340002,510 NELSON AVE NE
634437011,614 5TH ST NE
634416006,507 5TH AVE NE
634341003,510 1ST AVE NE
634414003,510 2ND AVE NE
634414008,509 3RD AVE NE
634438006,700 5TH ST NE
634438007,706 5TH ST NE
634438008,710 5TH ST NE
634415003,510 3RD AVE NE
634438009,712 5TH ST NE
634438010,718 5TH ST NE
634415008,408 5TH ST NE
634438013,505 8TH AVE NE
634413003,511 2ND AVE NE
634436006,512 5TH ST NE
635310001,416 8TH AVE NE
635310014,807 5TH ST NE
635310015,417 9TH AVE NE
635311001,416 9TH AVE NE
634437003,508 6TH AVE NE
634437007,511 7TH AVE NE
634340006,515 1ST AVE NE
634341002,514 1ST AVE NE
634414002,514 2ND AVE NE
634414007,513/515 3RD AVE NE
634416002,512 4TH AVE NE
635308002,415 11TH AVE NE
634415002,514 3RD AVE NE
634415007,513 4TH AV NE
634436002,512 5TH AVE NE
634339001,6193 CENTER AVE NE
634339002,513 NELSON AVE NE
634436004,512 5TH ST NE
634437002,512 6TH AVE NE
634437006,515 7TH AVE NE
634340005,519 1ST AVE NE
634438012,509 8TH AVE NE
634341001,518 1ST AVE NE
634413001,111 6TH ST NE
634413002,519 2ND AVE NE
634414001,205 6TH ST NE
634414006,519 3RD AVE NE
634415001,516 3RD AVE NE
634415006,519 4TH AVE NE
634416001,518 4TH AVE NE
634416005,517 5TH AVE NE
634436001,518 5TH ST NE
634436003,519 6TH AVE NE
635306005,802 5TH ST NE
634437001,518 6TH AVE NE
634437005,517 7TH AVE NE
634438001,516 7TH AVE NE
635306012,812 5TH ST NE
634438002,707 6TH ST NE
634438003,711 6TH ST NE
634438004,715 6TH ST NE
635307004,502 9TH AVE NE
634438005,719 6TH ST NE
634438011,723 6TH ST NE
635306004,506 8TH AVE NE
634335005,60 6TH ST NE
634335006,66 6TH ST NE
634335010,601 NELSON AVE NE
634337005,600 1ST AVE NE
634337006,108 6TH ST NE
634336004,80 6TH ST NE
