address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
1504 6TH AVE NE,Independence,Iowa,G,D,G_I_1504 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1504+6TH+AVE+NE,Independence+Iowa",-91.8873747,42.4846986,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.38,poor_siding,36.05,good_gutter,66.1,False,0.0,G_D_1504 6TH AVE NE_
1501 NORTH RIDGE CT NE,Independence,Iowa,G,D,G_I_1501 NORTH RIDGE CT NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1501+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.889034,42.4841921,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.89,poor_siding,35.69,good_gutter,69.7,False,0.0,G_D_1501 NORTH RIDGE CT NE_
1506 NORTH RIDGE CT NE,Independence,Iowa,G,D,G_I_1506 NORTH RIDGE CT NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1506+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.8884619,42.4849299,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.44,chipped_paint,35.7,good_gutter,69.95,False,0.0,G_D_1506 NORTH RIDGE CT NE_
1505 6TH AVE NE,Independence,Iowa,G,D,G_I_1505 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1505+6TH+AVE+NE,Independence+Iowa",-91.8880613,42.4849173,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.9,poor_siding,34.38,good_gutter,69.25,False,0.0,G_D_1505 6TH AVE NE_
1506 6TH AVE NE,Independence,Iowa,G,D,G_I_1506 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1506+6TH+AVE+NE,Independence+Iowa",-91.8873938,42.4849858,,,,,,,,,,,,,,,,,,True,,False,garden_present,47.92,poor_siding,37.55,good_gutter,58.0,False,0.0,G_D_1506 6TH AVE NE_
1803 8TH AVE NE,Independence,Iowa,G,D,G_I_1803 8TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1803+8TH+AVE+NE,Independence+Iowa",-91.884922,42.487719,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.09,poor_siding,35.57,good_gutter,69.08,False,0.0,G_D_1803 8TH AVE NE_
2089 KENTUCKY AVE,Independence,Iowa,G,D,G_I_2089 KENTUCKY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2089+KENTUCKY+AVE,Independence+Iowa",-91.885827,42.484452,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.27,poor_siding,36.58,good_gutter,69.99,False,0.0,G_D_2089 KENTUCKY AVE_
1508 6TH AVE NE,Independence,Iowa,G,D,G_I_1508 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1508+6TH+AVE+NE,Independence+Iowa",-91.8874319,42.4852535,,,,,,,,,,,,,,,,,,True,,False,garden_present,46.17,poor_siding,35.19,good_gutter,66.32,False,0.0,G_D_1508 6TH AVE NE_
502 16TH ST NE,Independence,Iowa,G,D,G_I_502 16TH ST NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=502+16TH+ST+NE,Independence+Iowa",-91.8887289,42.4854623,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.68,poor_siding,37.08,good_gutter,67.91,False,0.0,G_D_502 16TH ST NE_
504 16TH ST NE,Independence,Iowa,G,D,G_I_504 16TH ST NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=504+16TH+ST+NE,Independence+Iowa",-91.8883474,42.4854302,,,,,,,,,,,,,,,,,,True,,False,garden_present,48.19,poor_siding,35.83,good_gutter,65.82,False,0.0,G_D_504 16TH ST NE_
506 16TH ST NE,Independence,Iowa,G,D,G_I_506 16TH ST NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=506+16TH+ST+NE,Independence+Iowa",-91.8880804,42.4854346,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.07,poor_siding,35.37,good_gutter,70.72,False,0.0,G_D_506 16TH ST NE_
1510 6TH AVE NE,Independence,Iowa,G,D,G_I_1510 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1510+6TH+AVE+NE,Independence+Iowa",-91.8876799,42.4854603,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.08,poor_siding,35.95,good_gutter,71.36,False,0.0,G_D_1510 6TH AVE NE_
2082 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2082 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2082+JAMESTOWN+AVE,Independence+Iowa",-91.888876,42.485893,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.35,poor_siding,36.02,good_gutter,66.15,False,0.0,G_D_2082 JAMESTOWN AVE_
2083 KENTUCKY AVE,Independence,Iowa,G,D,G_I_2083 KENTUCKY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2083+KENTUCKY+AVE,Independence+Iowa",-91.8851433,42.4859811,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.2,poor_siding,36.74,good_gutter,71.34,False,0.0,G_D_2083 KENTUCKY AVE_
2081 KENTUCKY AVE,Independence,Iowa,G,D,G_I_2081 KENTUCKY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2081+KENTUCKY+AVE,Independence+Iowa",-91.8866691,42.4862628,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.04,poor_siding,36.91,good_gutter,67.07,False,0.0,G_D_2081 KENTUCKY AVE_
2079 KENTUCKY AVE,Independence,Iowa,G,D,G_I_2079 KENTUCKY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2079+KENTUCKY+AVE,Independence+Iowa",-91.8862304,42.4867109,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.75,poor_siding,35.64,good_gutter,71.11,False,0.0,G_D_2079 KENTUCKY AVE_
2077 KENTUCKY AVE,Independence,Iowa,G,D,G_I_2077 KENTUCKY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2077+KENTUCKY+AVE,Independence+Iowa",-91.8856392,42.4869698,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.86,poor_siding,38.12,poor/no_gutter,51.65,False,0.0,G_D_2077 KENTUCKY AVE_
1801 8TH AVE NE,Independence,Iowa,G,D,G_I_1801 8TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1801+8TH+AVE+NE,Independence+Iowa",-91.8848763,42.4874806,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.87,chipped_paint,35.68,good_gutter,63.27,False,0.0,G_D_1801 8TH AVE NE_
2070 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2070 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2070+JAMESTOWN+AVE,Independence+Iowa",-91.8889005,42.4875104,,,,,,,,,,,,,,,,,,True,,False,garden_present,46.01,chipped_paint,35.84,good_gutter,64.27,False,0.0,G_D_2070 JAMESTOWN AVE_
2068 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2068 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2068+JAMESTOWN+AVE,Independence+Iowa",-91.8880423,42.4876587,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.17,poor_siding,36.35,good_gutter,69.52,False,0.0,G_D_2068 JAMESTOWN AVE_
1998 206TH ST,Independence,Iowa,G,D,G_I_1998 206TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1998+206TH+ST,Independence+Iowa",-91.8855629,42.4878911,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
2066 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2066 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2066+JAMESTOWN+AVE,Independence+Iowa",-91.8873938,42.4877077,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.12,poor_siding,37.41,poor/no_gutter,52.89,False,0.0,G_D_2066 JAMESTOWN AVE_
