address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,False,roof,roof_confidence,img_used
1204 4TH ST,Grundy Center,Iowa,G,G,G_D_1204 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1204+4TH+ST,Grundy+Center+Iowa",-92.768083,42.3564019,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.34,poor_siding,36.63,poor/no_gutter,70.91,,good_roof,55.67,G_G_1204 4TH ST_
1202 4TH ST,Grundy Center,Iowa,G,G,G_D_1202 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1202+4TH+ST,Grundy+Center+Iowa",-92.7680635,42.3566521,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.71,poor_siding,36.3,poor/no_gutter,69.72,,good_roof,54.34,G_G_1202 4TH ST_
803 FROST ST,Grundy Center,Iowa,G,G,G_D_803 FROST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=803+FROST+ST,Grundy+Center+Iowa",-92.7675774,42.3601404,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
1104 4TH ST,Grundy Center,Iowa,G,G,G_D_1104 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1104+4TH+ST,Grundy+Center+Iowa",-92.7680635,42.3571131,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.37,poor_siding,39.56,good_gutter,62.66,,good_roof,54.36,G_G_1104 4TH ST_
212 J AVE,Grundy Center,Iowa,G,G,G_D_212 J AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=212+J+AVE,Grundy+Center+Iowa",-92.7658791,42.3584469,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
202 K AVE,Grundy Center,Iowa,G,G,G_D_202 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+K+AVE,Grundy+Center+Iowa",-92.7649525,42.3574953,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.36,poor_siding,36.22,poor/no_gutter,59.45,,good_roof,54.88,G_G_202 K AVE_
313 H AVE,Grundy Center,Iowa,G,G,G_D_313 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=313+H+AVE,Grundy+Center+Iowa",-92.7677719,42.3607119,,,,,,,,,,,,,,,,,,True,,False,no_garden,39.15,poor_siding,35.24,poor/no_gutter,55.19,,good_roof,61.13,G_G_313 H AVE_
502 BUTLER AVE,Grundy Center,Iowa,G,G,G_D_502 BUTLER AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=502+BUTLER+AVE,Grundy+Center+Iowa",-92.7702608,42.3548512,,,,,,,,,,,,,,,,,,True,,True,garden_present,40.06,chipped_paint,35.27,good_gutter,69.15,,good_roof,54.88,G_G_502 BUTLER AVE_
320 H AVE,Grundy Center,Iowa,G,G,G_D_320 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=320+H+AVE,Grundy+Center+Iowa",-92.7684233,42.3603217,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.61,poor_siding,35.79,good_gutter,62.51,,good_roof,52.97,G_G_320 H AVE_
404 G AVE,Grundy Center,Iowa,G,G,G_D_404 G AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=404+G+AVE,Grundy+Center+Iowa",-92.7689075,42.3611841,,,,,,,,,,,,,,,,,,True,,False,garden_present,47.09,poor_siding,37.78,good_gutter,68.79,,good_roof,57.25,G_G_404 G AVE_
206 G AVE,Grundy Center,Iowa,G,G,G_D_206 G AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=206+G+AVE,Grundy+Center+Iowa",-92.761392,42.361141,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.59,poor_siding,36.01,good_gutter,64.43,,good_roof,53.07,G_G_206 G AVE_
702 E 1ST ST,Grundy Center,Iowa,G,G,G_D_702 E 1ST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=702+E+1ST+ST,Grundy+Center+Iowa",-92.7606946,42.3612661,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.93,poor_siding,37.1,poor/no_gutter,53.64,,good_roof,54.89,G_G_702 E 1ST ST_
305 H AVE,Grundy Center,Iowa,G,G,G_D_305 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+H+AVE,Grundy+Center+Iowa",-92.7599947,42.3608604,,,,,,,,,,,,,,,,,,True,,True,garden_present,39.32,poor_siding,37.21,good_gutter,59.12,,good_roof,56.51,W_G_305 H AVE_
705 4TH ST,Grundy Center,Iowa,G,G,G_D_705 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+4TH+ST,Grundy+Center+Iowa",-92.7689386,42.3608759,,,,,,,,,,,,,,,,,,True,,False,no_garden,38.55,chipped_paint,35.33,good_gutter,68.31,,bad_roof,62.67,G_G_705 4TH ST_
409 J AVE,Grundy Center,Iowa,G,G,G_D_409 J AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=409+J+AVE,Grundy+Center+Iowa",-92.7697747,42.358839,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
104 K AVE,Grundy Center,Iowa,G,G,G_D_104 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+K+AVE,Grundy+Center+Iowa",-92.7641553,42.357572,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.6,chipped_paint,35.4,good_gutter,68.63,,good_roof,53.44,G_G_104 K AVE_
1304 4TH ST,Grundy Center,Iowa,G,G,G_D_1304 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1304+4TH+ST,Grundy+Center+Iowa",-92.76791,42.355643,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.67,poor_siding,38.7,good_gutter,63.81,,good_roof,58.19,G_G_1304 4TH ST_
404 I AVE,Grundy Center,Iowa,G,G,G_D_404 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=404+I+AVE,Grundy+Center+Iowa",-92.769133,42.359373,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
307 E I AVE,Grundy Center,Iowa,G,G,G_D_307 E I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=307+E+I+AVE,Grundy+Center+Iowa",-92.7780334,42.3687752,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
901 FROST ST,Grundy Center,Iowa,G,G,G_D_901 FROST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=901+FROST+ST,Grundy+Center+Iowa",-92.7675969,42.3593524,,,,,,,,,,,,,,,,,,True,,True,no_garden,40.0,good_siding,35.32,poor/no_gutter,66.26,,bad_roof,55.07,W_G_901 FROST ST_
304 H AVE,Grundy Center,Iowa,G,G,G_D_304 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=304+H+AVE,Grundy+Center+Iowa",-92.7663965,42.3603205,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
704 2 ST,Grundy Center,Iowa,G,G,G_D_704 2 ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=704+2+ST,Grundy+Center+Iowa",-92.7644275,42.361138,,,,,,,,,,,,,,,,,,True,,False,garden_present,46.92,poor_siding,37.52,good_gutter,53.08,,good_roof,54.92,G_G_704 2 ST_
703 FROST ST,Grundy Center,Iowa,G,G,G_D_703 FROST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=703+FROST+ST,Grundy+Center+Iowa",-92.7676552,42.3610604,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
106 E G AVE,Grundy Center,Iowa,G,G,G_D_106 E G AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=106+E+G+AVE,Grundy+Center+Iowa",-92.7780334,42.3687752,,,,,,,,,,,,,,,,,,True,,False,no_garden,38.6,poor_siding,35.79,good_gutter,68.0,,good_roof,51.05,G_G_106 E G AVE_
706 4TH ST,Grundy Center,Iowa,G,G,G_D_706 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=706+4TH+ST,Grundy+Center+Iowa",-92.7683941,42.3608506,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.15,poor_siding,38.31,good_gutter,56.86,,bad_roof,52.97,G_G_706 4TH ST_
903 3 ST,Grundy Center,Iowa,G,G,G_D_903 3 ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=903+3+ST,Grundy+Center+Iowa",-92.7670043,42.3590989,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.79,poor_siding,36.5,good_gutter,68.52,,good_roof,53.04,G_G_903 3 ST_
407 K AVE,Grundy Center,Iowa,G,G,G_D_407 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=407+K+AVE,Grundy+Center+Iowa",-92.769133,42.3578749,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
406 H AVE,Grundy Center,Iowa,G,G,G_D_406 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=406+H+AVE,Grundy+Center+Iowa",-92.7694052,42.3602884,,,,,,,,,,,,,,,,,,True,,False,no_garden,43.1,poor_siding,34.83,good_gutter,67.32,,bad_roof,51.74,G_G_406 H AVE_
410 H AVE,Grundy Center,Iowa,G,G,G_D_410 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=410+H+AVE,Grundy+Center+Iowa",-92.7697747,42.3602987,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
308 H AVE,Grundy Center,Iowa,G,G,G_D_308 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=308+H+AVE,Grundy+Center+Iowa",-92.7669165,42.3603658,,,,,,,,,,,,,,,,,,True,,True,garden_present,39.3,poor_siding,35.67,good_gutter,54.77,,bad_roof,51.02,G_G_308 H AVE_
