address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
303 E PROSPECT ST,New Hampton,Iowa,G,H,G_H_303 E PROSPECT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=303+E+PROSPECT+ST,New+Hampton+Iowa",-92.3115137,43.0600041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_510 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=510+N+WALNUT+AVE,New+Hampton+Iowa",-92.3168665,43.0643689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408 N LINN AVE,New Hampton,Iowa,G,H,G_H_408 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=408+N+LINN+AVE,New+Hampton+Iowa",-92.318253,43.0632038,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
106 N LINN AVE,New Hampton,Iowa,G,H,G_H_106 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=106+N+LINN+AVE,New+Hampton+Iowa",-92.3181182,43.0603827,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
404 E MAIN ST,New Hampton,Iowa,G,H,G_H_404 E MAIN ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=404+E+MAIN+ST,New+Hampton+Iowa",-92.3103199,43.0596112,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.86,poor_siding,37.41,good_gutter,56.46,False,0.0,G_H_404 E MAIN ST_
307 E WASHINGTON ST,New Hampton,Iowa,G,H,G_H_307 E WASHINGTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=307+E+WASHINGTON+ST,New+Hampton+Iowa",-92.3104932,43.0628106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516 N LINN AVE,New Hampton,Iowa,G,H,G_H_516 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=516+N+LINN+AVE,New+Hampton+Iowa",-92.318185,43.064475,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
222 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_222 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=222+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3121105,43.0668715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_228 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=228+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3116484,43.0668808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_232 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=232+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3113596,43.0668676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604 N LINN AVE,New Hampton,Iowa,G,H,G_H_604 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=604+N+LINN+AVE,New+Hampton+Iowa",-92.3181759,43.0649109,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
310 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_310 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3107243,43.0668994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_314 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=314+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3102429,43.0668901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_326 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=326+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3091262,43.0669126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_322 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=322+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3095113,43.0669427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511 N LINN AVE,New Hampton,Iowa,G,H,G_H_511 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=511+N+LINN+AVE,New+Hampton+Iowa",-92.3175983,43.0643541,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
103 W GARDNER ST,New Hampton,Iowa,G,H,G_H_103 W GARDNER ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=103+W+GARDNER+ST,New+Hampton+Iowa",-92.3168665,43.0649753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_25 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=25+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3145173,43.0663871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636 N LOCUST AVE,New Hampton,Iowa,G,H,G_H_636 N LOCUST AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=636+N+LOCUST+AVE,New+Hampton+Iowa",-92.3144981,43.0661412,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.6,poor_siding,35.77,good_gutter,67.59,False,0.0,G_H_636 N LOCUST AVE_
17 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_17 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=17+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.315033,43.066125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311 N CHESTNUT AVE,New Hampton,Iowa,G,H,G_H_311 N CHESTNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=311+N+CHESTNUT+AVE,New+Hampton+Iowa",-92.3150372,43.0625675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215 N PLEASANT HILL AVE,New Hampton,Iowa,G,H,G_H_215 N PLEASANT HILL AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=215+N+PLEASANT+HILL+AVE,New+Hampton+Iowa",-92.306637,43.061513,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
511 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_511 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=511+N+WALNUT+AVE,New+Hampton+Iowa",-92.3163274,43.0643797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_408 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=408+N+WALNUT+AVE,New+Hampton+Iowa",-92.3168665,43.0632697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403 E PROSPECT ST,New Hampton,Iowa,G,H,G_H_403 E PROSPECT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=403+E+PROSPECT+ST,New+Hampton+Iowa",-92.3102814,43.0600668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 N WATER AVE,New Hampton,Iowa,G,H,G_H_16 N WATER AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=16+N+WATER+AVE,New+Hampton+Iowa",-92.3131021,43.0598679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205 N FOLEY AVE,New Hampton,Iowa,G,H,G_H_205 N FOLEY AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=205+N+FOLEY+AVE,New+Hampton+Iowa",-92.3109553,43.0614368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211 N LOCUST AVE,New Hampton,Iowa,G,H,G_H_211 N LOCUST AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=211+N+LOCUST+AVE,New+Hampton+Iowa",-92.3138242,43.0617012,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.22,poor_siding,36.63,good_gutter,67.47,False,0.0,G_H_211 N LOCUST AVE_
615 N LOCUST AVE,New Hampton,Iowa,G,H,G_H_615 N LOCUST AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=615+N+LOCUST+AVE,New+Hampton+Iowa",-92.3134819,43.065435,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.65,poor_siding,37.1,poor/no_gutter,62.65,False,0.0,G_H_615 N LOCUST AVE_
310 E GARDNER ST,New Hampton,Iowa,G,H,G_H_310 E GARDNER ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+E+GARDNER+ST,New+Hampton+Iowa",-92.310474,43.0650662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303 N PLEASANT HILL AVE,New Hampton,Iowa,G,H,G_H_303 N PLEASANT HILL AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=303+N+PLEASANT+HILL+AVE,New+Hampton+Iowa",-92.3082791,43.0622677,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
303 E MILWAUKEE ST,New Hampton,Iowa,G,H,G_H_303 E MILWAUKEE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=303+E+MILWAUKEE+ST,New+Hampton+Iowa",-92.3108975,43.06646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307 E PROSPECT ST,New Hampton,Iowa,G,H,G_H_307 E PROSPECT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=307+E+PROSPECT+ST,New+Hampton+Iowa",-92.3112056,43.0599345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 W HALE ST,New Hampton,Iowa,G,H,G_H_3 W HALE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=3+W+HALE+ST,New+Hampton+Iowa",-92.3156341,43.0622333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302 E GARDNER ST,New Hampton,Iowa,G,H,G_H_302 E GARDNER ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=302+E+GARDNER+ST,New+Hampton+Iowa",-92.3109553,43.0650755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701 E JEFFERSON ST,New Hampton,Iowa,G,H,G_H_701 E JEFFERSON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+E+JEFFERSON+ST,New+Hampton+Iowa",-92.3057764,43.0636825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220 E WASHINGTON ST,New Hampton,Iowa,G,H,G_H_220 E WASHINGTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=220+E+WASHINGTON+ST,New+Hampton+Iowa",-92.3120913,43.0632902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405 N LINN AVE,New Hampton,Iowa,G,H,G_H_405 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=405+N+LINN+AVE,New+Hampton+Iowa",-92.317579,43.0632743,,,,,,,,,,,,,,,,,,True,,False,no_garden,38.49,poor_siding,36.22,poor/no_gutter,71.94,False,0.0,G_H_405 N LINN AVE_
201 E WASHINGTON ST,New Hampton,Iowa,G,H,G_H_201 E WASHINGTON ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=201+E+WASHINGTON+ST,New+Hampton+Iowa",-92.3125149,43.062751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508 N CHESTNUT AVE,New Hampton,Iowa,G,H,G_H_508 N CHESTNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=508+N+CHESTNUT+AVE,New+Hampton+Iowa",-92.315723,43.064134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
